Department_ID,Department_Name,Annual_Budget_AZN,Primary_Region
DEP-001,Information Technology,2800000,Baku
DEP-002,Finance,1250000,Baku
DEP-003,Human Resources,850000,Baku
DEP-004,Operations,3400000,Baku
DEP-005,Facilities Management,2100000,Baku
DEP-006,Legal & Compliance,600000,Baku
DEP-007,Marketing & Communications,900000,Baku
DEP-008,Regional Operations,2500000,Ganja
DEP-009,Training & Development,700000,Baku
DEP-010,Security,1450000,Baku
DEP-011,Procurement,500000,Baku
DEP-012,Customer Service,1100000,Baku
