Procurement_ID,Order_Date,Department_ID,Category_ID,Supplier_ID,Procurement_Method,Quantity,Estimated_Unit_Price_AZN,Actual_Unit_Price_AZN,Contract_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Region,Quality_Score
PR-2025-00001,2025-06-27,DEP-003,CAT-017,SUP-060,Open Tender,94,201.22,176.4,2025-07-13,2025-08-11,,In Progress,Baku,
PR-2025-00002,2025-05-14,DEP-005,CAT-014,SUP-099,Open Tender,10,845.89,708.59,2025-05-18,2025-07-16,,Pending,Baku,
PR-2025-00003,2025-04-21,DEP-011,CAT-015,SUP-056,Direct Purchase,1,19351.42,18389.54,2025-05-18,2025-06-08,2025-06-07,Completed,Baku,4.7
PR-2024-00004,2024-04-14,DEP-009,CAT-008,SUP-064,Open Tender,291,230.4,207.15,2024-05-05,2024-06-17,2024-06-18,Completed,Baku,4.7
PR-2024-00005,2024-09-14,DEP-007,CAT-022,SUP-117,Direct Purchase,41,7208.28,7139.95,2024-09-17,2024-10-02,2024-10-01,Completed,Baku,4.4
PR-2025-00006,2025-08-29,DEP-009,CAT-023,SUP-085,Open Tender,225,12.21,11.23,2025-09-17,2025-11-12,,In Progress,Baku,
PR-2026-00007,2026-08-29,DEP-007,CAT-023,SUP-061,Open Tender,496,64.77,56.05,2026-09-16,2026-10-18,2026-10-15,Completed,Baku,4.0
PR-2026-00008,2026-01-04,DEP-008,CAT-012,SUP-011,Open Tender,4,3021.63,2639.9,2026-01-30,2026-02-23,2026-02-25,Completed,Ganja,4.8
PR-2024-00009,2024-12-07,DEP-004,CAT-011,SUP-066,Framework Agreement,3,9267.92,9448.08,2024-12-19,2025-02-13,2025-02-13,Completed,Lankaran,3.3
PR-2024-00010,2024-07-11,DEP-008,CAT-008,SUP-082,Request for Quotation,597,,55.78,2024-07-20,2024-09-07,2024-08-30,Completed,Ganja,4.6
PR-2025-00011,2025-11-12,DEP-005,CAT-013,SUP-010,Direct Purchase,5,13578.24,14175.8,2025-11-22,2026-01-07,2026-01-08,Completed,Baku,4.6
PR-2025-00012,2025-08-29,DEP-009,CAT-023,SUP-032,Request for Quotation,170,37.28,34.92,2025-09-05,2025-10-02,,Pending,Baku,
PR-2026-00013,2026-02-27,DEP-001,CAT-005,SUP-107,Open Tender,50,349.72,328.81,2026-03-15,2026-04-30,2026-04-26,Completed,Baku,4.5
PR-2024-00014,2024-05-20,DEP-011,CAT-007,SUP-064,Open Tender,833,2.77,3.09,2024-05-30,2024-06-11,2024-06-08,Completed,Baku,4.8
