Supplier_ID,Supplier_Name,Country,Supplier_Category,Registration_Date,Risk_Level
SUP-001,Global Group LLC,Azerbaijan,Technology,2017-07-25,Medium
SUP-002,Prime Solutions LLC,Georgia,Medical,2020-03-10,Medium
SUP-003,Sigma Technologies LLC,Azerbaijan,Catering,2014-12-24,Low
SUP-004,Orion Logistics LLC,Germany,Catering,2016-05-21,Medium
SUP-005,Vertex Solutions LLC,Azerbaijan,Transport,2017-09-21,Medium
SUP-006,Baku Trade LLC,Georgia,Professional Services,2024-08-12,Medium
SUP-007,Green Solutions LLC,Azerbaijan,Technology,2023-05-22,Low
SUP-008,Prime Partners LLC,Azerbaijan,Catering,2018-03-12,Medium
SUP-009,United Supply LLC,Azerbaijan,Office,2022-05-27,Low
SUP-010,Nova Group LLC,Azerbaijan,Utilities,2021-10-25,Low
SUP-011,Crown Commerce LLC,Azerbaijan,Facilities,2013-08-20,Low
SUP-012,United Solutions LLC,Azerbaijan,Transport,2023-05-26,High
SUP-013,West Consulting LLC,Georgia,Furniture,2015-11-14,Low
SUP-014,United Industries LLC,Azerbaijan,Medical,2023-02-13,High
SUP-015,Nova Systems LLC,Azerbaijan,Security,2015-09-17,Medium
SUP-016,Pro Services LLC,Azerbaijan,Transport,2017-02-18,High
SUP-017,Crown Technologies LLC,Azerbaijan,Office,2012-03-15,Medium
SUP-018,Pioneer Services LLC,Azerbaijan,Furniture,2020-02-05,Low
SUP-019,East Solutions LLC,Azerbaijan,Marketing,2012-10-15,High
SUP-020,Nexus Group LLC,Turkey,Office,2012-12-31,Medium
SUP-021,Caspian Services LLC,Georgia,Office,2024-10-08,Low
SUP-022,Pro Industries LLC,Azerbaijan,Furniture,2012-08-18,Low
SUP-023,West Industries LLC,UAE,Facilities,2017-09-07,Medium
SUP-024,Pro Solutions LLC,China,Facilities,2013-10-10,Low
SUP-025,Global Partners LLC,Azerbaijan,Technology,2015-07-09,Low
SUP-026,Smart Services LLC,Azerbaijan,Professional Services,2020-06-10,Low
SUP-027,Orion Solutions LLC,Italy,Training,2013-10-05,Medium
SUP-028,Green Technologies LLC,Azerbaijan,Utilities,2013-02-17,Medium
SUP-029,Blue Industries LLC,Azerbaijan,Facilities,2013-02-17,Medium
SUP-030,Smart Technologies LLC,Azerbaijan,Facilities,2012-04-05,Medium
SUP-031,Blue Logistics LLC,Azerbaijan,Facilities,2018-08-31,Low
SUP-032,Blue Commerce LLC,Georgia,Catering,2018-03-31,Medium
SUP-033,Sigma Group LLC,Turkey,Medical,2020-03-28,Low
SUP-034,Smart Partners LLC,Azerbaijan,Medical,2012-09-21,Low
SUP-035,Caspian Consulting LLC,Turkey,Medical,2023-08-11,High
SUP-036,West Partners LLC,Turkey,Furniture,2016-03-06,Low
SUP-037,Pioneer Partners LLC,Azerbaijan,Furniture,2020-10-05,High
SUP-038,Atlas Solutions LLC,Azerbaijan,Medical,2021-01-22,Low
SUP-039,Azeri Supply LLC,Azerbaijan,Facilities,2015-01-02,Low
SUP-040,Pioneer Consulting LLC,Azerbaijan,Technology,2017-09-14,Low
SUP-041,Vertex Industries LLC,Azerbaijan,Technology,2017-04-29,Low
SUP-042,Blue Group LLC,China,Security,2020-04-11,Low
SUP-043,Prime Technologies LLC,Azerbaijan,Utilities,2018-10-15,Low
SUP-044,Atlas Systems LLC,Georgia,Transport,2016-10-19,Low
SUP-045,Caspian Logistics LLC,Georgia,Furniture,2024-02-12,Medium
SUP-046,Prime Logistics LLC,Azerbaijan,Furniture,2023-09-29,Low
SUP-047,Caspian Technologies LLC,Azerbaijan,Medical,2021-11-13,Low
SUP-048,Blue Trade LLC,Azerbaijan,Technology,2019-02-17,Low
SUP-049,Baku Group LLC,Turkey,Marketing,2024-05-09,Medium
SUP-050,Nova Supply LLC,UAE,Training,2014-05-23,Medium
SUP-051,Sigma Services LLC,Azerbaijan,Marketing,2017-11-19,Medium
SUP-052,East Trade LLC,Azerbaijan,Furniture,2018-11-23,Low
SUP-053,Atlas Logistics LLC,Azerbaijan,Marketing,2014-09-28,Low
SUP-054,United Logistics LLC,China,Technology,2015-11-26,Medium
SUP-055,Baku Supply LLC,UAE,Catering,2024-02-25,Medium
SUP-056,Sigma Commerce LLC,Azerbaijan,Professional Services,2020-07-06,Low
SUP-057,West Trade LLC,Italy,Utilities,2012-03-27,Low
SUP-058,Pro Systems LLC,Azerbaijan,Marketing,2018-05-07,Low
SUP-059,East Group LLC,Georgia,Catering,2012-08-08,Medium
SUP-060,Pioneer Supply LLC,Azerbaijan,Training,2014-09-26,Low
SUP-061,Global Supply LLC,UAE,Catering,2014-02-17,Low
SUP-062,West Solutions LLC,Azerbaijan,Technology,2018-03-09,Medium
SUP-063,Green Services LLC,UAE,Catering,2017-08-18,Low
SUP-064,Prime Commerce LLC,Azerbaijan,Office,2016-04-28,Low
SUP-065,West Supply LLC,Azerbaijan,Furniture,2017-05-31,Low
SUP-066,Sigma Solutions LLC,Turkey,Facilities,2012-09-23,High
SUP-067,West Services LLC,Azerbaijan,Transport,2021-10-23,High
SUP-068,Nexus Logistics LLC,Turkey,Office,2019-12-27,Low
SUP-069,Blue Supply LLC,Germany,Catering,2024-10-21,Medium
SUP-070,Orion Consulting LLC,Azerbaijan,Office,2014-08-21,Low
SUP-071,Nova Consulting LLC,Azerbaijan,Training,2016-04-29,Medium
SUP-072,Crown Trade LLC,Georgia,Catering,2014-03-01,Medium
SUP-073,East Services LLC,Azerbaijan,Medical,2020-04-08,Low
SUP-074,Caspian Trade LLC,Azerbaijan,Professional Services,2023-07-05,High
SUP-075,Azeri Industries LLC,Poland,Medical,2021-10-16,Low
SUP-076,Nexus Industries LLC,Azerbaijan,Training,2024-02-16,Low
SUP-077,Caspian Commerce LLC,Azerbaijan,Medical,2017-06-05,High
SUP-078,Sigma Consulting LLC,China,Security,2015-02-21,Low
SUP-079,Green Partners LLC,Georgia,Catering,2018-12-11,Low
SUP-080,Nexus Solutions LLC,Azerbaijan,Professional Services,2018-06-30,Low
SUP-081,Pioneer Logistics LLC,Azerbaijan,Security,2017-02-23,Medium
SUP-082,Blue Consulting LLC,Germany,Office,2014-09-20,Low
SUP-083,Pioneer Group LLC,Azerbaijan,Professional Services,2019-08-20,Low
SUP-084,Smart Logistics LLC,Turkey,Office,2012-07-17,Low
SUP-085,Smart Group LLC,Azerbaijan,Catering,2016-10-15,Low
SUP-086,Atlas Technologies LLC,Azerbaijan,Office,2021-10-17,Low
SUP-087,Nexus Technologies LLC,Azerbaijan,Marketing,2020-10-14,Medium
SUP-088,Azeri Trade LLC,Azerbaijan,Security,2021-08-22,Low
SUP-089,United Group LLC,Azerbaijan,Furniture,2013-09-25,High
SUP-090,Pioneer Solutions LLC,Turkey,Security,2018-05-12,Low
SUP-091,Global Trade LLC,Azerbaijan,Furniture,2015-10-29,Medium
SUP-092,West Logistics LLC,Azerbaijan,Marketing,2012-06-21,Medium
SUP-093,Orion Technologies LLC,Azerbaijan,Medical,2014-06-24,Low
SUP-094,Blue Partners LLC,Turkey,Furniture,2018-04-02,Medium
SUP-095,West Group LLC,Azerbaijan,Transport,2022-05-01,Low
SUP-096,Sigma Logistics LLC,Azerbaijan,Utilities,2012-09-04,Low
SUP-097,Crown Supply LLC,Turkey,Training,2015-07-13,Low
SUP-098,United Systems LLC,Azerbaijan,Security,2018-09-05,Low
SUP-099,Crown Services LLC,Azerbaijan,Utilities,2020-02-23,Low
SUP-100,Nova Industries LLC,Azerbaijan,Technology,2023-02-11,Low
SUP-101,Baku Technologies LLC,Azerbaijan,Technology,2021-04-14,Low
SUP-102,Prime Supply LLC,Turkey,Marketing,2022-07-16,High
SUP-103,East Consulting LLC,UAE,Furniture,2021-10-03,Medium
SUP-104,Pro Partners LLC,Azerbaijan,Marketing,2014-09-03,Medium
SUP-105,Smart Trade LLC,Azerbaijan,Catering,2018-07-03,High
SUP-106,Vertex Group LLC,Turkey,Transport,2021-04-26,Medium
SUP-107,Pioneer Commerce LLC,Azerbaijan,Technology,2022-07-07,Low
SUP-108,Vertex Systems LLC,Azerbaijan,Training,2021-10-12,Medium
SUP-109,Global Logistics LLC,Turkey,Medical,2024-01-09,Low
SUP-110,Atlas Group LLC,Azerbaijan,Marketing,2015-03-18,Low
SUP-111,Sigma Supply LLC,Germany,Marketing,2021-10-13,Low
SUP-112,Orion Systems LLC,Turkey,Training,2023-12-09,Medium
SUP-113,Vertex Services LLC,Turkey,Facilities,2012-04-27,High
SUP-114,Green Supply LLC,Turkey,Professional Services,2024-10-22,Low
SUP-115,Baku Systems LLC,Azerbaijan,Utilities,2023-05-07,High
SUP-116,Atlas Consulting LLC,Azerbaijan,Utilities,2017-11-25,Low
SUP-117,Pro Logistics LLC,Azerbaijan,Marketing,2018-10-16,Low
SUP-118,Sigma Partners LLC,Azerbaijan,Transport,2021-10-20,High
SUP-119,Azeri Partners LLC,Azerbaijan,Facilities,2019-08-04,Low
SUP-120,Global Technologies LLC,Azerbaijan,Furniture,2021-01-05,High
